STATION,NAME,DATE,HLY-WIND-1STDIR,HLY-WIND-1STPCT,HLY-WIND-2NDDIR,HLY-WIND-2NDPCT,HLY-WIND-AVGSPD,HLY-WIND-PCTCLM,HLY-WIND-VCTDIR,HLY-WIND-VCTSPD,YEAR,MONTH,DAY,HOUR
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-02T11:00:00,3,244,2,196,8,83,99,2.2,2010,1,2,11
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-02T12:00:00,2,217,3,202,8.3,73,87,1.5,2010,1,2,12
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-02T13:00:00,2,200,1,176,8.6,102,74,0.6,2010,1,2,13
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-02T14:00:00,2,250,1,179,8.2,96,11,0.6,2010,1,2,14
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-02T15:00:00,1,206,2,192,7.9,145,315,0.6,2010,1,2,15
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-02T16:00:00,1,181,2,168,7.9,143,298,0.7,2010,1,2,16
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-02T17:00:00,2,176,7,155,7.9,153,274,1.3,2010,1,2,17
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-02T18:00:00,7,211,4,150,7.8,133,267,1.4,2010,1,2,18
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-02T19:00:00,7,173,4,152,7.5,138,239,0.9,2010,1,2,19
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-02T20:00:00,4,155,7,151,7.1,156,195,0.8,2010,1,2,20
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-02T21:00:00,4,168,5,166,7,138,177,1.3,2010,1,2,21
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-02T22:00:00,4,204,5,140,6.7,183,177,1.6,2010,1,2,22
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-02T23:00:00,4,173,5,153,6.7,201,183,1.5,2010,1,2,23
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-03T00:00:00,4,165,5,164,6.5,189,164,1.4,2010,1,3,0
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-03T01:00:00,4,188,5,165,6.4,229,174,1.7,2010,1,3,1
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-03T02:00:00,4,183,5,157,6.7,167,167,1.7,2010,1,3,2
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-03T03:00:00,4,194,5,160,6.3,198,170,1.7,2010,1,3,3
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-03T04:00:00,4,197,5,138,6,218,163,1.5,2010,1,3,4
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-03T05:00:00,4,167,5,166,6.3,200,170,1.5,2010,1,3,5
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-03T06:00:00,4,217,5,129,6.4,225,151,1.6,2010,1,3,6
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-03T07:00:00,4,239,5,164,6.7,183,152,2,2010,1,3,7
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-03T08:00:00,4,276,5,128,6.8,212,137,2.2,2010,1,3,8
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-03T09:00:00,4,266,3,152,7.1,172,130,2.3,2010,1,3,9
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-03T10:00:00,4,254,3,228,7.6,116,115,2.3,2010,1,3,10
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-03T11:00:00,3,238,2,204,8.1,78,98,2,2010,1,3,11
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-03T12:00:00,2,214,3,202,8.3,80,85,1.4,2010,1,3,12
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-03T13:00:00,2,198,1,185,8.6,100,64,0.6,2010,1,3,13
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-03T14:00:00,2,245,1,180,8.2,98,5,0.5,2010,1,3,14
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-03T15:00:00,1,197,2,194,7.9,145,301,0.6,2010,1,3,15
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-03T16:00:00,1,187,2,168,8,140,290,0.9,2010,1,3,16
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-03T17:00:00,2,177,7,158,7.9,158,276,1.6,2010,1,3,17
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-03T18:00:00,7,211,4,141,7.8,138,268,1.6,2010,1,3,18
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-03T19:00:00,7,182,4,150,7.4,138,241,1.1,2010,1,3,19
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-03T20:00:00,4,161,7,148,7,167,204,0.8,2010,1,3,20
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-03T21:00:00,5,169,4,167,7,136,183,1.2,2010,1,3,21
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-03T22:00:00,4,203,5,144,6.8,178,182,1.6,2010,1,3,22
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-03T23:00:00,4,179,5,156,6.8,192,188,1.4,2010,1,3,23
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-04T00:00:00,5,169,4,165,6.6,175,170,1.3,2010,1,4,0
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-04T01:00:00,4,175,5,166,6.5,227,177,1.6,2010,1,4,1
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-04T02:00:00,4,178,5,160,6.7,167,169,1.7,2010,1,4,2
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-04T03:00:00,4,186,5,157,6.3,205,168,1.7,2010,1,4,3
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-04T04:00:00,4,199,5,138,6.1,214,159,1.6,2010,1,4,4
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-04T05:00:00,4,172,5,170,6.4,196,164,1.5,2010,1,4,5
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-04T06:00:00,4,214,5,127,6.4,218,145,1.6,2010,1,4,6
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-04T07:00:00,4,234,5,166,6.8,174,151,2,2010,1,4,7
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-04T08:00:00,4,270,5,126,6.9,196,134,2.3,2010,1,4,8
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-04T09:00:00,4,263,3,149,7.2,163,128,2.4,2010,1,4,9
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-04T10:00:00,4,261,3,213,7.7,112,115,2.4,2010,1,4,10
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-04T11:00:00,3,247,2,202,8.1,74,98,2.2,2010,1,4,11
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-04T12:00:00,2,220,3,205,8.5,69,83,1.6,2010,1,4,12
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-04T13:00:00,2,206,1,185,8.5,102,71,0.7,2010,1,4,13
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-04T14:00:00,2,255,1,177,8.2,100,13,0.6,2010,1,4,14
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-04T15:00:00,1,201,2,196,7.9,136,312,0.6,2010,1,4,15
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-04T16:00:00,1,189,2,168,8.1,136,291,1,2010,1,4,16
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-04T17:00:00,2,169,7,163,8,163,278,1.6,2010,1,4,17
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-04T18:00:00,7,213,1,134,7.8,136,271,1.7,2010,1,4,18
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-04T19:00:00,7,185,4,160,7.4,136,247,1.1,2010,1,4,19
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-04T20:00:00,4,154,7,146,6.9,171,208,0.7,2010,1,4,20
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-04T21:00:00,4,163,5,162,6.9,140,174,1.2,2010,1,4,21
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-04T22:00:00,4,188,5,144,6.7,178,180,1.5,2010,1,4,22
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-04T23:00:00,4,166,5,147,6.7,192,184,1.3,2010,1,4,23
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-05T00:00:00,4,162,5,162,6.6,167,164,1.2,2010,1,5,0
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-05T01:00:00,4,173,5,160,6.4,229,175,1.5,2010,1,5,1
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-05T02:00:00,4,187,5,156,6.7,160,164,1.7,2010,1,5,2
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-05T03:00:00,4,190,5,146,6.2,214,160,1.7,2010,1,5,3
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-05T04:00:00,4,196,5,136,6,216,154,1.5,2010,1,5,4
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-05T05:00:00,4,177,5,165,6.4,189,158,1.4,2010,1,5,5
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-05T06:00:00,4,217,5,121,6.3,225,136,1.6,2010,1,5,6
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-05T07:00:00,4,234,5,164,6.8,169,146,2,2010,1,5,7
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-05T08:00:00,4,277,5,124,6.9,194,130,2.3,2010,1,5,8
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-05T09:00:00,4,265,3,145,7.1,156,122,2.5,2010,1,5,9
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-05T10:00:00,4,266,3,209,7.6,117,112,2.6,2010,1,5,10
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-05T11:00:00,3,256,2,195,7.9,81,97,2.4,2010,1,5,11
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-05T12:00:00,2,228,3,203,8.4,72,82,1.7,2010,1,5,12
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-05T13:00:00,2,204,1,188,8.5,96,73,0.9,2010,1,5,13
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-05T14:00:00,2,250,1,182,8.2,96,15,0.7,2010,1,5,14
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-05T15:00:00,1,204,2,192,7.9,141,317,0.6,2010,1,5,15
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-05T16:00:00,1,187,2,176,8,145,295,1,2010,1,5,16
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-05T17:00:00,2,176,7,162,7.9,171,281,1.5,2010,1,5,17
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-05T18:00:00,7,210,1,128,7.8,140,276,1.6,2010,1,5,18
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-05T19:00:00,7,189,4,151,7.4,140,261,1.1,2010,1,5,19
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-05T20:00:00,7,154,4,145,6.9,169,223,0.6,2010,1,5,20
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-05T21:00:00,7,158,4,153,6.8,147,184,0.9,2010,1,5,21
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-05T22:00:00,4,184,5,136,6.6,187,186,1.4,2010,1,5,22
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-05T23:00:00,4,159,5,150,6.7,185,190,1.2,2010,1,5,23
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-06T00:00:00,5,168,4,154,6.5,153,166,1,2010,1,6,0
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-06T01:00:00,5,163,4,160,6.4,223,182,1.4,2010,1,6,1
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-06T02:00:00,4,177,5,165,6.6,160,164,1.6,2010,1,6,2
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-06T03:00:00,4,186,5,153,6.2,209,159,1.6,2010,1,6,3
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-06T04:00:00,4,194,5,139,6,220,156,1.5,2010,1,6,4
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-06T05:00:00,4,167,5,165,6.3,187,155,1.3,2010,1,6,5
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-06T06:00:00,4,212,5,121,6.3,214,135,1.6,2010,1,6,6
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-06T07:00:00,4,225,5,174,6.6,171,147,2,2010,1,6,7
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-06T08:00:00,4,270,5,136,6.8,192,134,2.3,2010,1,6,8
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-06T09:00:00,4,266,5,147,7,156,125,2.5,2010,1,6,9
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-06T10:00:00,4,270,3,212,7.4,112,110,2.6,2010,1,6,10
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-06T11:00:00,3,260,2,197,7.8,76,94,2.5,2010,1,6,11
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-06T12:00:00,2,233,3,203,8.3,69,80,1.8,2010,1,6,12
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-06T13:00:00,2,211,1,184,8.4,91,69,1,2010,1,6,13
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-06T14:00:00,2,242,1,179,8.1,96,22,0.7,2010,1,6,14
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-06T15:00:00,1,210,2,184,7.9,134,331,0.5,2010,1,6,15
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-06T16:00:00,1,188,2,181,8,136,303,0.9,2010,1,6,16
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-06T17:00:00,2,172,7,167,8,165,281,1.5,2010,1,6,17
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-06T18:00:00,7,202,1,135,7.8,140,276,1.6,2010,1,6,18
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-06T19:00:00,7,189,4,146,7.4,142,261,1.1,2010,1,6,19
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-06T20:00:00,7,162,4,147,7,156,237,0.7,2010,1,6,20
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-06T21:00:00,4,158,5,153,6.8,145,183,0.9,2010,1,6,21
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-06T22:00:00,4,180,5,142,6.6,192,183,1.5,2010,1,6,22
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-06T23:00:00,4,159,5,154,6.7,185,185,1.2,2010,1,6,23
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-07T00:00:00,5,161,4,147,6.5,162,162,1,2010,1,7,0
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-07T01:00:00,5,166,4,153,6.4,223,183,1.3,2010,1,7,1
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-07T02:00:00,4,175,5,163,6.6,167,163,1.5,2010,1,7,2
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-07T03:00:00,4,185,5,140,6.2,209,157,1.4,2010,1,7,3
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-07T04:00:00,4,202,5,136,5.9,229,154,1.4,2010,1,7,4
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-07T05:00:00,5,164,4,159,6.3,196,154,1.2,2010,1,7,5
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-07T06:00:00,4,203,3,118,6.3,225,135,1.5,2010,1,7,6
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-07T07:00:00,4,220,5,168,6.6,174,146,1.9,2010,1,7,7
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-07T08:00:00,4,275,5,125,6.8,194,133,2.3,2010,1,7,8
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-07T09:00:00,4,264,3,140,6.9,156,122,2.6,2010,1,7,9
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-07T10:00:00,4,255,3,216,7.3,117,111,2.7,2010,1,7,10
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-07T11:00:00,3,261,2,202,7.7,81,92,2.5,2010,1,7,11
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-07T12:00:00,2,248,3,211,8.2,69,73,1.8,2010,1,7,12
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-07T13:00:00,2,217,3,184,8.3,89,62,1.2,2010,1,7,13
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-07T14:00:00,2,254,1,181,8.1,92,19,0.8,2010,1,7,14
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-07T15:00:00,1,208,2,198,7.9,130,335,0.7,2010,1,7,15
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-07T16:00:00,1,189,2,185,8,131,312,1,2010,1,7,16
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-07T17:00:00,2,179,7,158,7.9,163,288,1.5,2010,1,7,17
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-07T18:00:00,7,196,2,132,7.6,147,280,1.5,2010,1,7,18
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-07T19:00:00,7,185,4,140,7.3,153,270,1.2,2010,1,7,19
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-07T20:00:00,7,158,4,137,6.9,163,255,0.6,2010,1,7,20
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-07T21:00:00,4,154,5,153,6.7,145,192,0.7,2010,1,7,21
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-07T22:00:00,4,174,5,152,6.4,200,185,1.3,2010,1,7,22
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-07T23:00:00,4,155,5,147,6.5,188,187,0.9,2010,1,7,23
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-08T00:00:00,5,155,4,144,6.4,164,160,0.7,2010,1,8,0
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-08T01:00:00,5,163,4,144,6.3,225,183,1,2010,1,8,1
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-08T02:00:00,4,165,5,149,6.5,178,159,1.2,2010,1,8,2
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-08T03:00:00,4,185,5,135,6.2,214,151,1.2,2010,1,8,3
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-08T04:00:00,4,199,5,134,6,212,144,1.2,2010,1,8,4
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-08T05:00:00,5,159,4,150,6.3,196,142,0.9,2010,1,8,5
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-08T06:00:00,4,198,3,118,6.2,229,122,1.4,2010,1,8,6
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-08T07:00:00,4,205,5,170,6.5,180,140,1.6,2010,1,8,7
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-08T08:00:00,4,266,5,124,6.7,189,126,2.1,2010,1,8,8
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-08T09:00:00,4,251,3,147,6.9,152,114,2.4,2010,1,8,9
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-08T10:00:00,4,247,3,224,7.3,110,105,2.7,2010,1,8,10
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-08T11:00:00,3,261,2,204,7.7,78,88,2.6,2010,1,8,11
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-08T12:00:00,2,252,3,210,8.2,67,68,2,2010,1,8,12
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-08T13:00:00,2,219,1,192,8.3,85,52,1.3,2010,1,8,13
